english,translation,frequency_rank,pos,example,is_phrasal
come,приходить; прийти; приезжать,1,verb,,false
get,доставать; достать; получать,2,verb,,false
give,поддаваться; поддаться; давать,3,verb,,false
go,говорить; сказать; ходить; очередь; попытка,4,verb,,false
keep,сдержать; хранить; держать; цитадель; содержание,5,verb,,false
let,пускать; пустить; позволять,6,verb,,false
make,делать; сделать; создавать; марка,7,verb,,false
put,класть; положить; ставить,8,verb,,false
seem,казаться; показаться; сдаваться,9,verb,,false
take,брать; взять; хватать; взятие; дубль,10,verb,,false
be,быть; являться; находиться,11,verb,,false
do,ли; поживать; посещать; вечеринка; тусовка,12,verb,,false
have,иметь; у меня; у тебя,13,verb,,false
say,скажем; говорить; сказать; голос; право голоса,14,verb,,false
see,видеть; увидеть; посещать; епархия; диоцез,15,verb,,false
send,посылать; слать; послать,16,verb,,false
may,мочь; можно; да ...; боярышник; май,17,modal,,false
will,желать; пожелать; воля; намерение; завещать,18,modal,,false
about,кругом; вокруг; повсюду; обратно; туда-сюда,19,prep,,false
across,через; напротив; на другой стороне,20,prep,,false
after,после; потом; из-за; в результате; за,21,prep,,false
against,против; по; напротив,22,prep,,false
among,среди; средь; между,23,prep,,false
at,в; у; на,24,prep,,false
before,до; прежде; перед; раньше; ранее,25,prep,,false
between,между; меж; посреди,26,prep,,false
by,к; около; посредством,27,prep,,false
down,по вертикали; вниз; книзу; вдоль; по,28,prep,,false
from,из; от; с,29,prep,,false
in,в; внутри,30,prep,,false
off,вон; прочь; долой; выключенный; выкл.,31,prep,,false
on,на; в,32,prep,,false
over,оконченный; на ночь; снова; опять; через,33,prep,,false
through,через; сквозь; по,34,prep,,false
to,к; до,35,prep,,false
under,под; ниже; меньше,36,prep,,false
up,выше; громче; вверх; наверх; дальше,37,prep,,false
with,с; вместе с,38,prep,,false
as,как; в качестве; поскольку,39,conj,,false
for,для; ради; за,40,prep,,false
of,из; от; о,41,prep,,false
till,до; до тех пор пока; пока не; до тех пор; касса,42,prep,,false
than,чем; нежели; неже,43,conj,,false
a,(неопределённый артикль),44,det,,false
the,(определённый артикль),45,det,,false
all,весь; целый; всё; совсем; полностью,46,det,,false
any,ещё; какой-нибудь; никакой; любой; всякий,47,det,,false
every,каждый; всякий,48,det,,false
little,маленький; малый; младший; мало; немного,49,det,,false
much,много; немало; очень; намного; гораздо,50,det,,false
no,воспрещается; не; нет,51,det,,false
other,другой; иной,52,det,,false
some,некоторый; немного; несколько; какой-то; какой-нибудь,53,det,,false
such,такой; таков; этакий,54,det,,false
that,что; чтобы; тот; та; то,55,det,,false
this,этот; эта; это; эти,56,det,,false
i,я,57,pron,,false
he,он,58,pron,,false
you,тебя; тебе; тобой; ты; вы,59,pron,,false
who,что; который; которая; ВОЗ,60,pron,,false
and,и; а,61,conj,,false
because,потому что; так как; поскольку,62,conj,,false
but,но; а,63,conj,,false
or,или,64,conj,,false
if,если,65,conj,,false
though,тем не менее; однако; всё-таки; хотя; хоть и,66,conj,,false
while,"время; промежуток времени; пока; до тех пор, пока; в то время, как",67,conj,,false
how,как; каким образом; насколько,68,adv,,false
when,когда; в то время как,69,adv,,false
where,где; откуда; куда,70,adv,,false
why,почему; зачем; отчего; причина; ого,71,adv,,false
again,опять; снова; ещё раз,72,adv,,false
ever,всегда; когда-либо,73,adv,,false
far,далёкий; дальний; далеко,74,adv,,false
forward,передний; передовой; дерзкий; вперёд; дальше,75,adv,,false
here,здесь; тут; сюда,76,adv,,false
near,близкий; ближний; близко; рядом с; около,77,adv,,false
now,теперь; сейчас; ныне; раз уж; пора,78,adv,,false
out,из; снаружи; вне; аут; удаление,79,adv,,false
still,неподвижный; ещё; всё ещё; всё-таки; штиль,80,adv,,false
then,тогда; затем; потом; тогдашний,81,adv,,false
there,там; туда; есть; вот,82,adv,,false
together,вместе; сообща; совместно,83,adv,,false
well,хорошо; как следует; здоровый; так вот; ну,84,adv,,false
almost,почти; почти что,85,adv,,false
enough,достаточно; довольно; хватит!; достаточно!,86,adv,,false
even,равный; одинаковый; ровный; ровнять; выравнивать,87,adv,,false
not,не; а не,88,adv,,false
only,единственный; единый; исключительный; только; лишь,89,adv,,false
quite,вполне; весьма; изрядно,90,adv,,false
so,чтобы; и; поэтому; очень; так,91,adv,,false
very,очень; весьма; изрядно; самый; тот самый,92,adv,,false
tomorrow,завтра,93,adv,,false
yesterday,вчера,94,adv,,false
north,север; норд; северный; к северу; на север,95,noun,,false
south,юг; зюйд; южный,96,noun,,false
east,восток; ост; восточный; восточный ветер,97,noun,,false
west,запад; вест; западный; Дикий Запад,98,noun,,false
please,радовать; угождать; нравиться; пожалуйста; прошу,99,interj,,false
yes,да; так; ага; да!; поддакивать,100,interj,,false
account,изложение; описание; отчёт,101,noun,,false
act,игра; притворство; действие; действовать; поступать,102,noun,,false
addition,сложение; прибавление,103,noun,,false
adjustment,приспосабливание; регулировка; настройка,104,noun,,false
advertisement,реклама; объявление; анонс,105,noun,,false
agreement,согласование; согласие; договор,106,noun,,false
air,воздух; поветрие; чувство; распространять; транслировать,107,noun,,false
amount,количество; сумма,108,noun,,false
amusement,развлечение; забава,109,noun,,false
animal,животное; зверь; тварь; звериный,110,noun,,false
answer,ответ; отповедь; решение; отвечать; ответить,111,noun,,false
apparatus,аппарат; аппаратура; оборудование,112,noun,,false
approval,одобрение; разрешение; утверждение,113,noun,,false
argument,обоснование; аргумент; довод,114,noun,,false
art,искусство; умение; мастерство,115,noun,,false
attack,нападение; атака; наступление; атаковать; нападать,116,noun,,false
attempt,пытаться; попытаться; пробовать; попытка; проба,117,noun,,false
attention,внимание; внимательность; ухаживания; смирно,118,noun,,false
attraction,влечение; аттракцион; достопримечательность,119,noun,,false
authority,власть; власти; авторитет,120,noun,,false
back,задний; тыльный; хвостовой; назад; обратно,121,noun,,false
balance,гармония; противовес; сбалансированность; уравновешивать; уравновесить,122,noun,,false
base,основа; фундамент; база; низменный,123,noun,,false
behavior,поведение,124,noun,,false
belief,вера; доверие; убеждение,125,noun,,false
birth,роды; рождение; начало,126,noun,,false
bit,удила; сверло; кусок; бит,127,noun,,false
bite,откусывать; откусить; кусать; укус; кусок,128,noun,,false
blood,кровь; юшка; родство,129,noun,,false
blow,взрываться; взорваться; взлетать на воздух; передышка; удар,130,noun,,false
body,тело; кузов; корпус,131,noun,,false
brass,латунь; латунный; медные духовые инструменты,132,noun,,false
bread,хлеб; бабки; бабло; панировать,133,noun,,false
breath,дыхание; вздох; передышка,134,noun,,false
brother,брат; братец; братишка,135,noun,,false
building,строительство; стройка; здание,136,noun,,false
burn,жжение; ожог; сжигание; гореть; сгореть,137,noun,,false
burst,разрывать; разорвать; лопать; взрыв; разрыв,138,noun,,false
business,предприятие; бизнес; компания,139,noun,,false
butter,масло; сливочное масло; намаслить; намасливать; намазать маслом,140,noun,,false
canvas,холст; парусина; брезент,141,noun,,false
care,забота; беспокойство; тревога; беспокоиться; заботиться,142,noun,,false
cause,причина; основание; дело; причинять; производить,143,noun,,false
chalk,мел; мелок,144,noun,,false
chance,возможность; шанс; случайность,145,noun,,false
change,изменяться; меняться; измениться; изменение; перемена,146,noun,,false
cloth,ткань; материя; сукно,147,noun,,false
coal,уголь; каменный уголь; уголёк,148,noun,,false
color,цвет; колорит; колер; цветной; красить,149,noun,,false
comfort,удобство; комфорт; уют; успокаивать; успокоить,150,noun,,false
committee,комитет; комиссия,151,noun,,false
company,компания; общество; товарищество,152,noun,,false
comparison,сравнение; сравнивание; сходство,153,noun,,false
competition,соревнование; состязание; конкуренция,154,noun,,false
condition,состояние; положение; условие; привыкать; привыкнуть,155,noun,,false
connection,соединение; связь; пересадка,156,noun,,false
control,управлять; контролировать; власть; контроль,157,noun,,false
cook,повар; повариха; кок; готовить; приготовить,158,noun,,false
copper,медно-красный; медный; цвет меди; цвета меди; меднить,159,noun,,false
copy,копия; дубликат; рукопись; копировать; дублировать,160,noun,,false
cork,пробка; затычка; поплавок; затыкать; заткнуть,161,noun,,false
cotton,хлопок; вата; хлопчатая бумага; хлопковый; хлопчатобумажный,162,noun,,false
cough,кашлять; кашлянуть; кашель,163,noun,,false
country,страна; край; земля; деревенский; сельский,164,noun,,false
cover,укрытие; крышка; обложка; обложечный; закрывать,165,noun,,false
crack,трескаться; потрескаться; треснуть; трещина; щель,166,noun,,false
credit,верить; поверить; доверять; кредит; очко,167,noun,,false
crime,преступление; злодеяние; злодейство,168,noun,,false
crush,раздавливание; давка; увлечение; давить; дробить,169,noun,,false
cry,плакать; рыдать; кричать; плач; крик,170,noun,,false
current,ток; поток; течение; нынешний; текущий,171,noun,,false
curve,изгиб; кривая; поворот; изгибать; гнуть,172,noun,,false
damage,повреждение; ущерб; вред; повреждать; повредить,173,noun,,false
danger,опасность; угроза,174,noun,,false
daughter,дочь; дочка; дщерь,175,noun,,false
day,сутки; день; световой день,176,noun,,false
death,смерть; гибель; погибель; костлявая; ангел смерти,177,noun,,false
debt,долг; обязанность; задолженность,178,noun,,false
decision,решение; урегулирование; решительность,179,noun,,false
degree,градус; учёная степень; диплом,180,noun,,false
design,план; намерение; замысел,181,noun,,false
desire,желать; вожделеть; желание; вожделение; охота,182,noun,,false
destruction,разрушение; уничтожение; разрушения,183,noun,,false
detail,деталь; подробность; тонкость; отдраивать; отрядить,184,noun,,false
development,развитие; достижение; разработка,185,noun,,false
digestion,пищеварение; переваривание,186,noun,,false
direction,направление; управление; руководство,187,noun,,false
discovery,открытие; открывание,188,noun,,false
discussion,обсуждение; дискуссия,189,noun,,false
disease,болезнь; заболевание; недуг,190,noun,,false
disgust,вызывать отвращение; вызвать отвращение; отвращение; омерзение,191,noun,,false
distance,расстояние; дистанция; отдалённость; отдалять,192,noun,,false
distribution,распространение; раздача; распределение,193,noun,,false
division,раздел; деление; часть,194,noun,,false
doubt,сомнение; вопрос,195,noun,,false
drink,пить; выпить; попить; напиток; выпивка,196,noun,,false
driving,движущий; приводной; вождение; езда; управление,197,noun,,false
dust,пыль; прах; опылять,198,noun,,false
earth,земля; почва; грунт; заземлять; заземлить,199,noun,,false
edge,край; грань; кромка,200,noun,,false
education,образование; обучение; воспитание,201,noun,,false
effect,эффект; результат; воздействие,202,noun,,false
end,смерть; конец; край; заканчиваться; закончиться,203,noun,,false
error,ошибка; погрешность; отклонение,204,noun,,false
event,событие; происшествие; случай,205,noun,,false
example,пример; образец,206,noun,,false
exchange,обмен; биржа; обмениваться; обменяться; заменять,207,noun,,false
existence,существование; бытие; экзистенция,208,noun,,false
expansion,расширение; экспансия; пристройка,209,noun,,false
experience,опыт; переживание; искушённость; испытывать; испытать,210,noun,,false
expert,экспертный; эксперт; специалист; специалистка,211,noun,,false
fact,факт,212,noun,,false
fall,падать; упасть; снижаться; падение; спад,213,noun,,false
family,семья; семейство; род; семейный,214,noun,,false
father,отец; папа; батя; святой отец; батюшка,215,noun,,false
fear,страх; боязнь; опасение; бояться; страшиться,216,noun,,false
feeling,чувствительный; ощущение; чувство; эмоция,217,noun,,false
fiction,художественная литература; беллетристика; фикшен,218,noun,,false
field,поле; луг; нива; отправить; направить,219,noun,,false
fight,биться; сражаться; воевать; борьба; драка,220,noun,,false
fire,огонь; очаг; костёр; клёвый; обжигать,221,noun,,false
flame,пламя; полымя; пламень; пылать; флеймить,222,noun,,false
flight,полёт; перелёт; стая; побег; бегство,223,noun,,false
flower,цветок; цветы; цвести,224,noun,,false
fold,перегибать; перегнуть; складывать; складывание; складка,225,noun,,false
food,еда; пища; питание,226,noun,,false
force,сила; отряд; мощь; заставлять; заставить,227,noun,,false
form,форма; фигура; бланк; придавать форму; формировать,228,noun,,false
friend,друг; подруга; приятель; дружить; подружиться,229,noun,,false
front,передняя часть; перед; фасад; передний,230,noun,,false
fruit,плод; фрукт; фрукты,231,noun,,false
glass,стекло; стакан; рюмка,232,noun,,false
gold,золото; аурум; злато; золотой; нанаец,233,noun,,false
government,правительство; управление; государство,234,noun,,false
grain,зерно; жито; гран,235,noun,,false
grass,трава; мурава; газон,236,noun,,false
grip,хватать; схватить; сжимать; ручка; рукоятка,237,noun,,false
group,группа; коллектив; авиаполк; группировать; сгруппировать,238,noun,,false
growth,рост; развитие; прирост,239,noun,,false
guide,направляющая; гид; экскурсовод; быть проводником; вести,240,noun,,false
harbor,убежище; пристанище; кров,241,noun,,false
harmony,созвучие; согласие; гармония,242,noun,,false
hate,хейт; ненавидеть,243,noun,,false
hearing,слышащий; слух; слушание; разбирательство,244,noun,,false
heat,течка; гон; охота; греть; нагревать,245,noun,,false
help,помощь; помощник; помощница; помогать; помочь,246,noun,,false
history,история; летопись; история болезни,247,noun,,false
hole,отверстие; очко; лунка; дырявить; продырявить,248,noun,,false
hope,надеяться; уповать; надежда; надёжа; Надя,249,noun,,false
hour,час; время; година,250,noun,,false
humor,юмор,251,noun,,false
ice,лёд; сухой лёд; мороженое; замораживать; замораживаться,252,noun,,false
idea,идея; мысль; представление,253,noun,,false
impulse,импульс; порыв; побуждение,254,noun,,false
increase,возрастать; возрасти; увеличиваться; увеличение; рост,255,noun,,false
industry,усердие; трудолюбие; старательность,256,noun,,false
ink,чернила,257,noun,,false
insect,насекомое; букашка; козявка,258,noun,,false
instrument,инструмент; орудие; приспособление,259,noun,,false
insurance,страхование; страховка,260,noun,,false
interest,интерес; процент; интересовать; заинтересовать; интересоваться,261,noun,,false
invention,изобретение; создание; изобретательность,262,noun,,false
iron,железо; феррум; железный; несгибаемый; твёрдый,263,noun,,false
jelly,желе; студень; холодец,264,noun,,false
join,соединять; соединить; скреплять; соединение; стык,265,noun,,false
journey,путешествие; поездка; турне; путешествовать,266,noun,,false
judge,судья; эксперт; знаток; судить; осудить,267,noun,,false
jump,прыгать; прыгнуть; скакать; прыжок; скачок,268,noun,,false
kick,пинать; пнуть; лягать; пинок,269,noun,,false
kiss,целовать; поцеловать; целоваться; поцелуй; безе,270,noun,,false
knowledge,знание; осведомлённость; понимание,271,noun,,false
land,земля; земли; суша; высаживаться; высадиться,272,noun,,false
language,язык; речь; лексикон,273,noun,,false
laugh,смех; хохот; умора; смеяться; рассмеяться,274,noun,,false
law,право; закон; правило,275,noun,,false
lead,свинец; плюмбум; грузило; свинцевать; водиться,276,noun,,false
learning,учёба; учение; изучение,277,noun,,false
leather,кожа; кожаный,278,noun,,false
letter,письмо; послание; буква,279,noun,,false
level,ровный; уровень; ватерпас; степень; равнять,280,noun,,false
lift,поднимать; поднять; жать; лифт; элеватор,281,noun,,false
light,свет; освещение; спички; зажигать; зажечь,282,noun,,false
limit,предел; лимит; граница; ограничивать; ограничить,283,noun,,false
linen,полотно; холст; бельё,284,noun,,false
liquid,жидкость; плавный звук; жидкий; ликвидный,285,noun,,false
list,кромка; кайма; каёмка; вносить в список; составлять список,286,noun,,false
look,смотреть; посмотреть; глядеть; смотри; смотрите,287,noun,,false
loss,потеря; утеря; утрата,288,noun,,false
love,любовь; любимый; любимая; любить; заниматься любовью,289,noun,,false
machine,машина; механизм; аппарат,290,noun,,false
man,мужчина; муж; мужик; блин; чёрт,291,noun,,false
manager,менеджер; директор; директриса,292,noun,,false
mark,пятно; след; отметина; маркировать; помечать,293,noun,,false
market,ярмарка; рынок; базар,294,noun,,false
